Time,Servers,AverageCPU,Sessions,Pheromone
158281.01,3,0.6233333333333334,28.0,74.8991111111066
158341.01,3,0.39333333333333337,34.0,74.26799999999544
158401.01,3,0.36333333333333334,28.0,73.76666666666203
158461.01,3,0.32,22.0,75.02088888888413
158521.01,3,0.48999999999999994,18.0,75.88133333332843
158581.01,3,0.41333333333333333,12.0,76.3488888888839
158641.01,3,0.33666666666666667,12.0,77.9888888888838
158701.01,3,0.43,16.0,77.7826666666615
158761.01,3,0.5966666666666667,11.0,79.74177777777241
158821.01,3,0.45999999999999996,12.0,79.12577777777233
158881.01,3,0.38999999999999996,11.0,79.55511111110553
158941.01,3,0.36666666666666664,10.0,77.58177777777207
159001.01,3,0.3433333333333333,7.0,81.48044444443859
159061.01,3,0.52,6.0,82.32222222221623
159121.01,3,0.6233333333333334,7.0,82.70177777777167
159181.01,3,0.7566666666666667,10.0,80.84222222221608
159241.01,3,0.37000000000000005,10.0,79.05555555554932
159301.01,3,0.3433333333333333,14.0,80.65288888888247
159361.01,3,0.24,14.0,81.3746666666602
159421.01,3,0.4466666666666667,13.0,82.39688888888234
159481.01,3,0.35333333333333333,16.0,83.5906666666599
159541.01,3,0.38999999999999996,12.0,84.77022222221534
159601.01,3,0.48666666666666664,12.0,86.87066666665963
159661.01,3,0.3333333333333333,8.0,85.379111111104
159721.01,3,0.4266666666666667,11.0,86.41111111110384
159781.01,3,0.4566666666666667,16.0,86.83866666665922
159841.01,3,0.47000000000000003,12.0,84.41199999999247
159901.01,3,0.54,10.0,83.63599999999238
159961.01,3,0.21333333333333337,5.0,85.12133333332562
160021.01,3,0.3066666666666667,4.0,89.62622222221428
160081.01,2,0.52,4.0,58.95066666666659
160141.01,2,0.665,5.0,57.20266666666653
160201.01,2,0.7849999999999999,12.0,55.4306666666665
160261.01,2,0.73,9.0,52.49733333333316
160321.01,2,0.85,13.0,48.69733333333316
160381.01,2,0.79,13.0,45.4039999999998
160441.01,2,0.7,17.0,42.2613333333331
160501.01,2,0.9,15.0,39.023999999999724
160561.01,2,0.885,15.0,35.546666666666354
160621.01,2,0.675,15.0,33.978666666666285
160681.01,2,0.88,19.0,30.178666666666288
160741.01,2,0.78,16.0,26.91466666666622
160801.01,2,0.815,10.0,24.87466666666621
160861.01,3,0.31,11.0,57.575555555555546
160921.01,3,0.48,7.0,58.290222222222184
160981.01,3,0.6499999999999999,10.0,57.84666666666658
161041.01,3,0.42,10.0,55.67599999999991
161101.01,3,0.47333333333333333,14.0,54.630666666666535
161161.01,3,0.4633333333333334,14.0,53.60755555555539
161221.01,3,0.36999999999999994,14.0,55.47599999999981
161281.01,3,0.4033333333333333,12.0,55.114222222222025
161341.01,3,0.3266666666666667,9.0,56.018222222221965
161401.01,3,0.14666666666666667,7.0,54.99422222222194
161461.01,3,0.4033333333333333,9.0,58.48844444444409
161521.01,3,0.38333333333333336,8.0,57.65288888888848
161581.01,3,0.45999999999999996,12.0,58.11333333333289
161641.01,3,0.48,14.0,57.40933333333282
161701.01,3,0.25,13.0,59.06888888888833
161761.01,3,0.38999999999999996,13.0,60.13288888888832
161821.01,3,0.43333333333333335,17.0,60.86977777777719
161881.01,3,0.41333333333333333,13.0,62.59155555555489
161941.01,3,0.54,13.0,61.74444444444375
162001.01,3,0.39333333333333337,12.0,61.73911111111037
162061.01,3,0.4366666666666666,13.0,61.92844444444366
162121.01,3,0.4466666666666666,11.0,61.78622222222139
162181.01,3,0.48,13.0,61.77111111111024
162241.01,3,0.37999999999999995,12.0,60.1879999999991
162301.01,3,0.4566666666666667,13.0,62.08488888888792
162361.01,3,0.21666666666666667,7.0,62.19244444444342
162421.01,3,0.28,7.0,65.08222222222112
162481.01,3,0.32333333333333336,4.0,67.20488888888771
162541.01,3,0.5533333333333333,7.0,68.57199999999874
162601.01,3,0.48666666666666664,6.0,66.81822222222094
162661.01,3,0.6666666666666666,9.0,66.26355555555422
162721.01,3,0.5333333333333333,5.0,65.84311111110975
162781.01,3,0.53,6.0,66.35422222222084
162841.01,3,0.4066666666666667,10.0,67.57466666666518
162901.01,3,0.26,8.0,69.67066666666516
162961.01,3,0.26,8.0,72.8839999999984
163021.01,3,0.3166666666666667,8.0,72.45822222222057
163081.01,3,0.3766666666666667,11.0,73.29466666666497
163141.01,3,0.37000000000000005,13.0,73.57999999999828
163201.01,3,0.4333333333333333,9.0,73.701777777776
163261.01,3,0.32666666666666666,6.0,75.1284444444426
163321.01,3,0.5933333333333333,8.0,76.05822222222031
163381.01,3,0.6233333333333334,7.0,73.96755555555362
163441.01,3,0.4566666666666667,11.0,72.95688888888691
163501.01,3,0.4566666666666667,9.0,72.69022222222019
163561.01,3,0.31666666666666665,12.0,72.0048888888868
163621.01,3,0.4333333333333333,14.0,74.94533333333116
163681.01,3,0.39999999999999997,10.0,76.27422222221999
163741.01,3,0.24333333333333337,6.0,78.14177777777547
163801.01,3,0.5,7.0,79.21911111110872
163861.01,3,0.4666666666666666,7.0,79.016444444442
163921.01,3,0.6,10.0,77.00399999999753
